도서관명,시도명,시군구명,도서관유형,휴관일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,열람좌석수,자료수(도서),자료수(연속간행물),자료수(비도서),대출가능권수,대출가능일수,소재지도로명주소,운영기관명,도서관전화번호,부지면적,건물면적,홈페이지주소,위도,경도,데이터기준일자,
율목도서관,인천광역시,중구,공공도서관,매주월요일+법정공휴일,9:00,22:00,9:00,18:00,0:00,0:00,265,74458,90,4480,5,14,인천광역시 중구 답동로24번길 17,,,,,,37.4697729,126.632376,20241119,
영종도서관,인천광역시,중구,공공도서관,매주월요일+법정공휴일,9:00,22:00,9:00,18:00,0:00,0:00,311,105334,116,5588,5,14,인천광역시 중구 영종대로 85,,,,,,37.4955908,126.488647,20241119,
꿈벗도서관,인천광역시,중구,공공도서관,매주월요일+법정공휴일,9:00,18:00,9:00,18:00,0:00,0:00,85,42366,77,1763,5,14,인천광역시 중구 홍예문로 32,,,,,,37.4731284,126.624977,20241119,
영종하늘도서관,인천광역시,중구,공공도서관,매주금요일+법정공휴일,9:00,22:00,9:00,18:00,0:00,0:00,328,84665,60,1595,5,14,인천광역시 중구 하늘중앙로 132,,,,,,37.4947126,126.56376,20241119,
화도진도서관,인천광역시,동구,공공도서관,매주수요일+법정공휴일,6:00,22:00,6:00,22:00,0:00,0:00,662,198637,101,21942,10,15,인천광역시 동구 화도진로 122,,,,,,37.4818156,126.628337,20241119,
송림도서관,인천광역시,동구,공공도서관,매주월요일+법정공휴일,6:00,22:00,6:00,22:00,0:00,0:00,450,87504,77,5263,5,14,인천광역시 동구 새천년로 72,,,,,,37.4747065,126.648789,20241119,
이룸청소년도서관,인천광역시,동구,공공도서관,매주월요일+법정공휴일,10:00,19:00,10:00,19:00,0:00,0:00,85,4990,16,0,5,14,인천광역시 동구 샛골로 144(청봄이룸터),,,,,,37.4751807,126.644672,20241119,
꿈드림어린이영어,인천광역시,동구,공공도서관,매주금요일+법정공휴일+임시휴관일,9:00,18:00,9:00,17:00,0:00,0:00,0,0,0,0,0,14,인천광역시 동구 새천년로 93,,,,,,37.4764347,126.648204,20241119,
주안도서관,인천광역시,미추홀구,공공도서관,매주목요일+법정공휴일,6:00,22:00,6:00,22:00,0:00,0:00,835,243498,101,17899,10,15,인천광역시 미추홀구 구월남로 27,,,,,,37.4554853,126.692867,20241119,
수봉도서관,인천광역시,미추홀구,공공도서관,매주월요일+법정공휴일,9:00,22:00,9:00,18:00,0:00,0:00,463,102878,131,6512,5,14,인천광역시 미추홀구 경인로 218,,,,,,37.4626765,126.666829,20241119,
학나래도서관,인천광역시,미추홀구,공공도서관,매주월요일+법정공휴일,10:00,22:00,10:00,18:00,0:00,0:00,115,52675,1529,2563,5,15,인천광역시 미추홀구 한나루로 444,,,,,,37.4465593,126.667454,20241119,
독정골어린이도서관,인천광역시,미추홀구,공공도서관,매주월요일+법정공휴일,10:00,18:00,10:00,18:00,0:00,0:00,62,18872,380,0,5,15,인천광역시 미추홀구 인주대로171번길 1,,,,,,37.4560509,126.656291,20241119,
관교어린이도서관,인천광역시,미추홀구,공공도서관,매주월요일+법정공휴일,10:00,22:00,10:00,18:00,0:00,0:00,73,27295,56,0,5,15,인천광역시 미추홀구 인하로452,,,,,,37.4441608,126.69679,20241119,
쑥골어린이도서관,인천광역시,미추홀구,공공도서관,매주월요일+법정공휴일,10:00,18:00,10:00,18:00,0:00,0:00,88,21817,184,0,5,15,인천광역시 미추홀구 염전로202번길 49,,,,,,37.475581,126.661266,20241119,
장사래어린이도서관,인천광역시,미추홀구,공공도서관,매주월요일+법정공휴일,10:00,18:00,10:00,18:00,0:00,0:00,50,20024,470,0,5,15,인천광역시 미추홀구 경인로34번길 20,,,,,,37.4630159,126.64725,20241119,
이랑도서관,인천광역시,미추홀구,공공도서관,매주월요일+법정공휴일,10:00,18:00,10:00,18:00,0:00,0:00,65,22412,141,0,5,15,인천광역시 미추홀구 미추홀대로578번길 7,,,,,,37.4492168,126.680303,20241119,
용비도서관,인천광역시,미추홀구,공공도서관,매주월요일+법정공휴일,10:00,22:00,10:00,18:00,0:00,0:00,96,37980,551,1173,5,15,인천광역시 미추홀구 토금남로 82,,,,,,37.4493001,126.640444,20241119,
연수도서관,인천광역시,연수구,공공도서관,매주수요일+법정공휴일,6:00,22:00,6:00,22:00,0:00,0:00,484,243201,118,29677,10,15,인천광역시 연수구 함박뫼로 152번길 96,,,,,,37.4178933,126.685306,20241119,
연수꿈담도서관,인천광역시,연수구,공공도서관,매주월요일+법정공휴일,9:00,22:00,9:00,18:00,0:00,0:00,300,46316,85,7553,5,14,인천광역시 연수구 먼우금로 164,,,,,,37.4123143,126.674723,20241119,
송도국제어린이도서관,인천광역시,연수구,공공도서관,매주월요일+법정공휴일,10:00,18:00,10:00,18:00,0:00,0:00,141,69970,21,26481,5,14,인천광역시 연수구 컨벤시아대로 43,,,,,,37.3979641,126.653632,20241119,
연수청학도서관,인천광역시,연수구,공공도서관,매주월요일+법정공휴일,7:00,22:00,7:00,22:00,0:00,0:00,400,94297,106,3724,5,14,인천광역시 연수구 솔샘로 146,,,,,,37.4255744,126.660961,20241119,
송도국제기구도서관,인천광역시,연수구,공공도서관,주말+법정공휴일,9:00,18:00,0:00,0:00,0:00,0:00,76,23119,21,39,5,14,"인천광역시 연수구 아트센터대로 175, 2층",,,,,,37.3957236,126.633778,20241119,
해돋이도서관,인천광역시,연수구,공공도서관,매주월요일+법정공휴일,9:00,22:00,9:00,18:00,0:00,0:00,200,69034,74,2392,5,14,인천광역시 연수구 해돋이로 51,,,,,,37.3884886,126.654692,20241119,
선학별빛도서관,인천광역시,연수구,공공도서관,매주월요일+법정공휴일,9:00,22:00,9:00,18:00,0:00,0:00,169,56827,73,2532,5,14,인천광역시 연수구 넘말로30,,,,,,37.4298285,126.697865,20241119,
동춘나래도서관,인천광역시,연수구,공공도서관,매주월요일+법정공휴일,9:00,18:00,9:00,18:00,0:00,0:00,176,35047,41,1220,5,14,인천광역시 연수구 봉재산로54번길 30,,,,,,37.407896,126.663899,20241119,
함박비류도서관,인천광역시,연수구,공공도서관,매주월요일+법정공휴일,9:00,18:00,9:00,18:00,0:00,0:00,142,33351,57,2235,5,14,인천광역시 연수구 함박안로 217,,,,,,37.4259622,126.687147,20241119,
미추홀도서관,인천광역시,남동구,공공도서관,매주금요일+법정공휴일,9:00,22:00,9:00,18:00,0:00,0:00,1180,557153,525,89130,5,14,인천광역시 남동구 인주대로 776번길 53,,,,,,37.4470319,126.724849,20241119,
중앙도서관,인천광역시,남동구,공공도서관,매주월요일+법정공휴일,6:00,22:00,6:00,22:00,0:00,0:00,888,289033,114,11294,10,15,인천광역시 남동구 정각로9 (인천광역시교육청),,,,,,37.4563045,126.703115,20241119,
간석3동어린이도서관,인천광역시,남동구,공공도서관,매주월요일+법정공휴일,9:00,18:00,9:00,17:00,0:00,0:00,0,41464,140,0,5,15,인천광역시 남동구 용천로 186(3층),,,,,,37.4661267,126.714549,20241119,
서창도서관,인천광역시,남동구,공공도서관,매주월요일+법정공휴일,6:00,22:00,6:00,22:00,0:00,0:00,42,95836,210,2314,5,15,인천광역시 남동구 독곡로 16번길 15,,,,,,37.4363309,126.746211,20241119,
소래도서관,인천광역시,남동구,공공도서관,매주월요일+법정공휴일,6:00,22:00,6:00,22:00,0:00,0:00,74,114986,260,5062,5,15,인천광역시 남동구 앵고개로 793,,,,,,37.3931656,126.723184,20241119,
만수2동어린이도서관,인천광역시,남동구,공공도서관,매주월요일+법정공휴일,9:00,18:00,9:00,17:00,0:00,0:00,0,35425,116,0,5,15,인천광역시 남동구 만수서로46(2층),,,,,,37.4613724,126.731138,20241119,
논현도서관,인천광역시,남동구,공공도서관,매주금요일+법정공휴일,8:00,22:00,8:00,22:00,0:00,0:00,36,46716,314,1479,5,15,인천광역시 남동구 청능대로 611번길 15,,,,,,37.4024176,126.726448,20241119,
부평도서관,인천광역시,부평구,공공도서관,매주목요일+법정공휴일,6:00,22:00,6:00,22:00,0:00,0:00,1051,239133,97,16046,10,15,인천광역시 부평구 경원대로 1191,,,,,,37.484978,126.704573,20241119,
북구도서관,인천광역시,부평구,공공도서관,매주월요일+법정공휴일,6:00,22:00,6:00,22:00,0:00,0:00,1220,305670,126,56126,10,15,인천광역시 부평구 신트리로 21,,,,,,37.5065672,126.723623,20241119,
부평기적의도서관,인천광역시,부평구,공공도서관,매주월요일+법정공휴일,9:00,18:00,9:00,18:00,0:00,0:00,120,53484,15,975,5,14,인천광역시 부평구 길주남로 166,,,,,,37.5034335,126.740181,20241119,
부개도서관,인천광역시,부평구,공공도서관,매주월요일+법정공휴일,9:00,22:00,9:00,18:00,0:00,0:00,227,65303,266,5123,5,14,인천광역시 부평구 부일로83번길 46,,,,,,37.4909982,126.739489,20241119,
갈산도서관,인천광역시,부평구,공공도서관,매주월요일+법정공휴일,9:00,18:00,9:00,18:00,0:00,0:00,92,28287,18,0,5,14,인천광역시 부평구 주부토로 254,,,,,,37.5175765,126.727112,20241119,
삼산도서관,인천광역시,부평구,공공도서관,매주월요일+법정공휴일,9:00,22:00,9:00,18:00,0:00,0:00,204,69595,23,2009,5,14,인천광역시 부평구 부평북로 445,,,,,,37.5221535,126.743045,20241119,
부개어린이도서관,인천광역시,부평구,공공도서관,매주월요일+법정공휴일,9:00,18:00,9:00,18:00,0:00,0:00,70,22831,9,279,5,14,인천광역시 부평구 동수로 166,,,,,,37.4854966,126.737021,20241119,
청천도서관,인천광역시,부평구,공공도서관,매주월요일+법정공휴일,9:00,22:00,9:00,18:00,0:00,0:00,149,61007,25,1627,5,14,인천광역시 부평구 원길로 23,,,,,,37.5058513,126.714352,20241119,
계양도서관,인천광역시,계양구,공공도서관,매주화요일+법정공휴일,6:00,22:00,6:00,22:00,0:00,0:00,606,217273,101,28617,10,15,인천광역시 계양구 계양산로134번길 18,,,,,,37.5459827,126.730086,20241119,
작전도서관,인천광역시,계양구,공공도서관,매주금요일+법정공휴일,9:00,22:00,9:00,18:00,0:00,0:00,185,44237,10,4615,5,14,인천광역시 계양구 오조산로21번길 4,,,,,,37.5329897,126.737713,20241119,
효성도서관,인천광역시,계양구,공공도서관,매주수요일+법정공휴일,9:00,22:00,9:00,18:00,0:00,0:00,117,48847,8,0,5,14,인천광역시 계양구 봉오대로600번길 14,,,,,,37.5292156,126.714987,20241119,
서운도서관,인천광역시,계양구,공공도서관,매주목요일+법정공휴일,9:00,22:00,9:00,18:00,0:00,0:00,105,41236,11,0,5,14,인천광역시 계양구 아나지로457번길 16,,,,,,37.5264061,126.743008,20241119,
동양도서관,인천광역시,계양구,공공도서관,매주월요일+법정공휴일,9:00,22:00,9:00,18:00,0:00,0:00,142,45849,24,0,5,14,인천광역시 계양구 당미길 31,,,,,,37.5619006,126.757814,20241119,
임학도서관,인천광역시,계양구,공공도서관,매주수요일+법정공휴일,9:00,22:00,9:00,18:00,0:00,0:00,44,16569,10,0,5,14,인천광역시 계양구 임학동로 26-1,,,,,,37.5443297,126.736191,20241119,
별똥별어린이도서관,인천광역시,계양구,공공도서관,매주금요일,9:00,18:00,9:00,18:00,0:00,0:00,0,0,0,0,0,15,인천광역시 계양구 봉오대로 510,,,,,,37.5292287,126.705664,20241119,
서구도서관,인천광역시,서구,공공도서관,매주금요일+법정공휴일,6:00,22:00,6:00,22:00,0:00,0:00,480,263047,103,13959,10,15,인천광역시 서구 건지로334번길 45,,,,,,37.4943371,126.679613,20241119,
가재울꿈어린이도서관,인천광역시,서구,공공도서관,매주금요일+법정공휴일,9:00,18:00,9:00,17:00,0:00,0:00,485,263047,103,13959,10,15,인천광역시 서구 건지로334번길 45,,,,,,37.4943371,126.679613,20241119,
심곡도서관,인천광역시,서구,공공도서관,매주월요일+법정공휴일,9:00,22:00,9:00,18:00,0:00,0:00,212,77652,41,10336,5,14,인천광역시 서구 심곡로 31,,,,,,37.5424416,126.673205,20241119,
검단도서관,인천광역시,서구,공공도서관,매주월요일+법정공휴일,9:00,22:00,9:00,18:00,0:00,0:00,350,86072,37,10336,5,14,인천광역시 서구 완정로 92번길 18,,,,,,37.600542,126.665329,20241119,
석남도서관,인천광역시,서구,공공도서관,매주월요일+법정공휴일,9:00,22:00,9:00,18:00,0:00,0:00,283,62921,40,10336,5,14,인천광역시 서구 서달로 137번길6-12,,,,,,37.5117858,126.678271,20241119,
신석도서관,인천광역시,서구,공공도서관,매주월요일+법정공휴일,9:00,22:00,9:00,18:00,0:00,0:00,350,70636,27,10336,5,14,인천광역시 서구 염곡로 299,,,,,,37.5117305,126.668103,20241119,
청라국제도서관,인천광역시,서구,공공도서관,매주월요일+법정공휴일,9:00,22:00,9:00,18:00,0:00,0:00,215,89014,49,0,5,14,인천광역시 서구 담지로 24,,,,,,37.5320346,126.660308,20241119,
청라호수도서관,인천광역시,서구,공공도서관,매주금요일+법정공휴일,9:00,22:00,9:00,18:00,0:00,0:00,199,105896,63,2682,5,14,인천광역시 서구 크리스탈로 59,,,,,,37.5305933,126.636285,20241119,
검암도서관,인천광역시,서구,공공도서관,매주월요일+법정공휴일,9:00,22:00,9:00,18:00,0:00,0:00,210,50296,38,10336,5,14,인천광역시 서구 검암로 20번길 20,,,,,,37.5660654,126.68304,20241119,
마전도서관,인천광역시,서구,공공도서관,매주금요일+법정공휴일,9:00,22:00,9:00,18:00,0:00,0:00,490,51834,50,664,5,14,인천광역시 서구 원당대로 563,,,,,,37.5941757,126.663422,20241119,
강화도서관,인천광역시,강화군,공공도서관,매주월요일+법정공휴일,9:00,22:00,9:00,22:00,0:00,0:00,401,78122,804,3584,76111,14,인천광역시 강화군 강화읍 북문길 9번길 18,,,,,,37.7487852,126.483149,20241119,
내가도서관,인천광역시,강화군,공공도서관,매주금요일+법정공휴일,9:00,18:00,9:00,18:00,0:00,0:00,44,16695,0,0,16663,14,인천광역시 강화군 내가면 강화서로249,,,,,,37.7193181,126.389794,20241119,
지혜의숲도서관,인천광역시,깅화군,공공도서관,매주금요일+법정공휴일,9:00,22:00,9:00,22:00,0:00,0:00,193,18117,0,0,18114,14,인천광역시 강화군 선원면 대문고개로 131,,,,,,37.72202,126.483653,20241119,
백령도서관,인천광역시,옹진군,공공도서관,매주월요일+법정공휴일,9:00,21:00,9:00,18:00,0:00,0:00,45,25395,0,0,2,14,인천광역시 옹진군 백령면 백령로260,,,,,,37.9704121,124.719637,20241119,
대청도서관,인천광역시,옹진군,공공도서관,주말+법정공휴일,9:00,18:00,0:00,0:00,0:00,0:00,50,19312,0,0,2,14,인천광역시 옹진군 대청면 대청리 750,,,,,,37.8336769,124.703459,20241119,
영흥도서관,인천광역시,옹진군,공공도서관,매주월요일+법정공휴일,10:00,21:00,10:00,17:00,0:00,0:00,71,35274,0,0,2,14,인천광역시 옹진군 영흥면 영흥로 283-31,,,,,,37.2561729,126.484164,20241119,
연평도서관,인천광역시,옹진군,공공도서관,매주월요일+법정공휴일,9:00,21:00,9:00,18:00,0:00,0:00,30,6953,0,0,2,14,인천광역시 옹진군 연평면 연평로 184,,,,,,37.6623419,125.704861,20241119,
,,,,,,,,,,,,,,,,,,,,,,,,,,
